_id,SL No,Ward No,Ward Name,Bus Stops,LATITUDE,LONGITUDE
116,116,Outside BBMP Limits,Outside BBMP Limits,"St Bentic school,ANCHEPALYA,OPPOSITE OF ST.BENEDICTS ENGLISH SCHOOL",12.887119,77.45875
117,117,Outside BBMP Limits,Outside BBMP Limits,"Anche Palya,ANCHEPALYA,Mysore Road",12.892416,77.457397
118,118,Outside BBMP Limits,Outside BBMP Limits,"Rajarajeshwari Medical College,ANCHEPALYA MYSORE ROAD,IN FRONT OF RAJA RAJESWARI MEDICAL COLLEGE AND HOSPITAL",12.896477,77.460769
119,119,Outside BBMP Limits,Outside BBMP Limits,"Doddabele,DODDABELE,BESIDE GOVT MIDDLE SCHOOL AND ANJANEYA TEMPLE",12.888816,77.477514
120,120,Outside BBMP Limits,Outside BBMP Limits,Ramasandra,12.945547,77.467963
121,121,Outside BBMP Limits,Outside BBMP Limits,"New Bhyrahalli cross,BEEDI COLONY,TAVAREKERE,Magadi Road",12.923661,77.472957
122,122,Outside BBMP Limits,Outside BBMP Limits,"Hunisemarada Palya,BESIDE OPEN AREA",12.91362,77.450586
123,123,Outside BBMP Limits,Outside BBMP Limits,"New Byrohalli,HOSA BYROHALLI,OPPOSITE OF GANGAMMA TEMPLE",12.919439,77.455943
124,124,Outside BBMP Limits,Outside BBMP Limits,Satellite Club,12.923776,77.472535
125,125,Outside BBMP Limits,Outside BBMP Limits,"Bettana Palya,BETTANAPALYA,IN FRONT OF AYYAPPA & SHANIMAHATHMA TEMPLE",12.911995,77.443124
126,126,Outside BBMP Limits,Outside BBMP Limits,"Hosa Palya,HOSAPALYA,OPPOSITE OF SAI RAM ENTERPRISES",12.910668,77.450109
127,127,Outside BBMP Limits,Outside BBMP Limits,"Shiridi Sai Temple,BESIDE OPEN AREA",12.913733,77.450505
128,128,Outside BBMP Limits,Outside BBMP Limits,"Archakara Badavane,OLD BYROHALLI,IN FRONT OF LAKSHMINARASIMHA TEMPLE",12.918847,77.452548
129,129,Outside BBMP Limits,Outside BBMP Limits,Tavarekere Magadi Road,12.965953,77.400552
130,130,Outside BBMP Limits,Outside BBMP Limits,Manjunath Nagara,12.964298,77.403722
131,131,Outside BBMP Limits,Outside BBMP Limits,"Dodda Aladamara Cross,TAVAREKERE,BESIDE OPEN AREA",12.963877,77.407274
132,132,Outside BBMP Limits,Outside BBMP Limits,"Puttaiahna Palya,IN FRONT OF MILK DAIRY",12.956557,77.410689
133,133,Outside BBMP Limits,Outside BBMP Limits,"Halubhavi Palya,GULAGANJANAHALLI,OPPOSITE OF GOVT. SCHOOL",12.942108,77.41586
134,134,Outside BBMP Limits,Outside BBMP Limits,"Dasegowdana Palya,OPPOSITE OF MARAMMA TEMPLE",12.936882,77.418948
135,135,Outside BBMP Limits,Outside BBMP Limits,"Krishna Sagar Hosakerahalli,KRISHNA SAGARA,OPPOSITE OF RAJALAKSHMI WINES",12.941425,77.425321
136,136,Outside BBMP Limits,Outside BBMP Limits,"Hosakere,SULIKERE,IN FRONT OF SHANI MAHATHAMA TEMPLE",12.93470429,77.43184315
137,137,Outside BBMP Limits,Outside BBMP Limits,"Sulikere,YELACHAGUPPE,BESIDE OPEN AREA",12.93481256,77.44665417
138,138,Outside BBMP Limits,Outside BBMP Limits,"Byrohalli Cross,SULIKERE,BESIDE OPEN AREA",12.93440399,77.44820873
139,139,Outside BBMP Limits,Outside BBMP Limits,"Banglow Sulikere Mysore Road,SULIKERE,IN FRONT OF ASHWATHA KATTE",12.933078,77.454253
140,140,Outside BBMP Limits,Outside BBMP Limits,"Ramasandra Cross,KOMMAGATTA,BESIDE OPEN AREA",12.93269,77.461577
141,141,Outside BBMP Limits,Outside BBMP Limits,"Kommagatta,KOMMAGATTA,IN FRONT OF LAKE",12.930021,77.464965
143,143,Outside BBMP Limits,Outside BBMP Limits,"Billa Kempanahalli,BILLA KEMPANAHALLI,IN FRONT OF GOVERNMENT PRIMARY SCHOOL",12.810252,77.406592
144,144,Outside BBMP Limits,Outside BBMP Limits,"Kadumane Hotel,KADUMANE,OPPOSITE OF SAROVARA BAR & RESTAURANT",12.815624,77.407342
145,145,Outside BBMP Limits,Outside BBMP Limits,"Lakshmisagar Gate,LAKSHMISAGARA,BEHIND BIG COMPOUND",12.822864,77.410695
146,146,Outside BBMP Limits,Outside BBMP Limits,"Veeranjaneya Temple,HANUMANTHA NAGARA,NEAR KOTHI ANJANEYA TEMPLE",12.829634,77.412196
147,147,Outside BBMP Limits,Outside BBMP Limits,"Manchanayakanahalli,MANCHANAYAKANAHALLI,IN FRONT OF ANANYA LUNCH HOME",12.834541,77.414444
148,148,Outside BBMP Limits,Outside BBMP Limits,"Sheshagiri Halli Mysore Road,SHESHAGIRIHALLI,IN FRONT OF MUTHURAYA SWAMY TEMPLE",12.843804,77.4213
149,149,Outside BBMP Limits,Outside BBMP Limits,"Hejjala Cross,HEJJALA,OPPOSITE OF SONA VALLIAPPA PUBLIC SCHOOL",12.85552,77.426781
150,150,Outside BBMP Limits,Outside BBMP Limits,"Kanaminaki Colony,KANIMINIKE,IN FRONT OF MANOJ PROVISION STORE",12.858237,77.428965
151,151,Outside BBMP Limits,Outside BBMP Limits,"Kanminike,KANIMINIKE,IN FRONT OF GOVERNMENT PRIMARY SCHOOL",12.863215,77.433581
152,152,Outside BBMP Limits,Outside BBMP Limits,Swaminarayana Gurukul,12.866702,77.436641
153,153,Outside BBMP Limits,Outside BBMP Limits,"Pepsi Gate,KUMBALAGUDU,OPPOSITE OF PEPSI SOFT DRINKS FACTORY",12.872574,77.439519
154,154,Outside BBMP Limits,Outside BBMP Limits,"Kumbalagodu,KUMBALAGUDU,IN FRONT OF GOVERNMENT SCHOOL",12.878462,77.445332
155,155,Outside BBMP Limits,Outside BBMP Limits,"Ramohalli Cross,KUMBALAGUDU,IN FRONT OF RAJARAJESHWARI COLLEGE OF ENGINEERING",12.886235,77.450364
156,156,Outside BBMP Limits,Outside BBMP Limits,"Thimmappana Palya,IN FRONT OF BYTARAYA TEMPLE",12.84165923,77.39229946
157,157,Outside BBMP Limits,Outside BBMP Limits,"Jadenahalli,BESIDE RESIDENTIAL AREA",12.83958758,77.39632101
158,158,Outside BBMP Limits,Outside BBMP Limits,Hakki Pikki Colony Cross,12.839251,77.398558
159,159,Outside BBMP Limits,Outside BBMP Limits,"Wonderla Park,OPPOSITE OF WONDERLA GATE",12.838309,77.402702
160,160,Outside BBMP Limits,Outside BBMP Limits,"School,OPPOSITE OF J.U.INDUSTRIAL TRAINING INSTITUTE",12.836542,77.410708
161,161,Outside BBMP Limits,Outside BBMP Limits,"Vajara Halli,VAJARAHALLI,OPPOSITE OF ANJANEYA SWAMY TEMPLE",12.823273,77.391404
